SOA_Record_ID,Product_ID,Product_Key,Model,Description,Starts,Ends,Window_Days,SOA,Original_Ends,Date_Correction_Flag
91,211,75QNED80T6A.AE,75QNED80T6A.AE,"LG 75"" QNED80 AI 4K Smart TV",03/12/2025,27/01/2026,56,485.04,27/01/2026,FALSE
92,212,75QNED87T6B.AE,75QNED87T6B.AE,"LG 75"" QNED 4K Smart",03/12/2025,27/01/2026,56,426.56,27/01/2026,FALSE
93,213,75UA75006LA.AEK,75UA75006LA.AEK,LG 75in UA 75UA TV,11/02/2026,17/03/2026,35,30.96,17/03/2026,FALSE
94,215,75UT81006LA.AEK,75UT81006LA.AEK,"LG 75"" UT81 UHD 4K SMART TV",03/12/2025,27/01/2026,56,184.04,27/01/2026,FALSE
95,217,86NANO81A6A.AE,86NANO81A6A.AE,LG 86in,19/01/2026,27/01/2026,9,61.92,27/01/2026,FALSE
96,218,86NANO81T6A.AE,86NANO81T6A.AE,"LG NANO Televion 86""",03/12/2025,27/01/2026,56,287.24,27/01/2026,FALSE
97,219,86UT81006LA.AEK,86UT81006LA.AEK,"LG 86"" 4K HDR LED Television",03/12/2025,27/01/2026,56,337.98,27/01/2026,FALSE
98,247,AF100UK,AF100UK,Ninja Air Fryer,11/02/2026,17/02/2026,7,14.17,17/02/2026,FALSE
99,249,AF160UK,AF160UK,Ninja Air Fryer Max,11/02/2026,17/02/2026,7,21.25,17/02/2026,FALSE
100,250,AF180UK,AF180UK,Ninja Air Fryer MAX PRO 6.2L,23/01/2026,27/01/2026,5,14.17,27/01/2026,FALSE
101,251,AF300UK,AF300UK,Ninja Dual Zone Air Fryer,11/02/2026,17/02/2026,7,31.67,17/02/2026,FALSE
102,252,AF400UK,AF400UK,Ninja Foodi Max Dual Zon Fryer,18/02/2026,24/02/2026,7,30.92,24/02/2026,FALSE
103,253,AF451UK,AF451UK,Ninja Foodi MAX Dual Zone Air,21/01/2026,27/01/2026,7,29.92,27/01/2026,FALSE
104,254,AF500UK,AF500UK,Ninja Foodi FlexDrawer 10.4L,11/02/2026,17/02/2026,7,44.58,17/02/2026,FALSE
105,256,AG651UK,AG651UK,Ninja Foodi Max Pro Health Grill,23/01/2026,03/02/2026,12,43.83,03/02/2026,FALSE
106,263,AS7500,AS7500,Remington 1000W Air Styler,01/02/2026,28/02/2026,28,5,28/02/2026,FALSE
107,264,AS8901,AS8901,Remington Hydraluxe Volume,01/02/2026,28/02/2026,28,11.25,28/02/2026,FALSE
108,265,AS8930U51,AS8930U51,Remington AIRvive 2in1 Air Styler,01/02/2026,28/02/2026,28,8.75,28/02/2026,FALSE
109,287,BC151UKNV,BC151UKNV,Ninja Blast Blender,23/01/2026,03/02/2026,12,7.08,03/02/2026,FALSE
110,288,BC251UKPK,BC251UKPK,Ninja Blast Max Cordless Portable,18/02/2026,24/02/2026,7,12.42,24/02/2026,FALSE
111,291,BCG600SILUK,BCG600SILUK,Sage TheDoseControl Pro Grinder,28/01/2026,03/03/2026,35,6.25,03/03/2026,FALSE
112,292,BCG820BSSUK,BCG820BSSUK,Sage St/St Smart Grinder Pro,24/12/2025,27/01/2026,35,4.5,27/01/2026,FALSE
113,294,BES875UK,BES875UK,Sage St/St Barista Express Coffee,24/12/2025,27/01/2026,35,40,27/01/2026,FALSE
114,305,BJE430SILUK,BJE430SILUK,Sage Nutri Juicer Cold,24/12/2025,27/01/2026,35,6,27/01/2026,FALSE
115,309,BN650UK,BN650UK,Ninja Food Processor 850w Auto,23/01/2026,03/02/2026,12,26.33,03/02/2026,FALSE
116,311,BN800UK,BN800UK,NINJA 3 IN 1 FOOD,18/02/2026,24/02/2026,7,31.67,24/02/2026,FALSE
117,314,BRB70F26DES0EU,BRB70F26DES0EU,Samsung Integrated Series 6,11/02/2026,28/02/2026,18,81.7,28/02/2026,FALSE
118,315,BRR29600EWW/E,BRR29600EWW/E,Samsung Integrated Tall Larder,11/02/2026,28/02/2026,18,164.26,28/02/2026,FALSE
119,317,BU3521UK,BU3521UK,Shark Clean & Empty Cordless,18/02/2026,24/02/2026,7,101.25,24/02/2026,FALSE
120,331,CB350UK,CB350UK,Ninja Foodi Power Nutri Blender,18/02/2026,24/02/2026,7,14.17,24/02/2026,FALSE
121,334,CI100UK,CI100UK,Ninja 'Foodi' 3-in-1 Food Prep,23/01/2026,03/02/2026,12,21.25,03/02/2026,FALSE
122,335,CI53W,CI53W,REMINGTON SHINE THERAPY,01/02/2026,28/02/2026,28,5.29,28/02/2026,FALSE
123,336,CI8930U51,CI8930U51,Remington AIRvive 2in1 Air Styler,01/02/2026,28/02/2026,28,15.83,28/02/2026,FALSE
124,361,D3010,D3010,Remington Hair Dryer,01/02/2026,28/02/2026,28,0.58,28/02/2026,FALSE
125,364,DECOBE253PK,DECOBE253PK,TP Link Whole Home Mesh Wi-Fi,04/02/2026,28/02/2026,25,38.23,28/02/2026,FALSE
126,365,DECOM4KIT,DECOM4KIT,DECOM4 3pk Mesh Home Wi-Fi,04/02/2026,28/02/2026,25,0.43,28/02/2026,FALSE
127,366,DECOX15003PK,DECOX15003PK,Tp Link Deco X1500 Whole Home,04/02/2026,28/02/2026,25,1.04,28/02/2026,FALSE
128,367,DECOX503PK,DECOX503PK,TP Link DECOX50 3pk Wi-Fi 6,04/02/2026,28/02/2026,25,11.87,28/02/2026,FALSE
129,368,DECOX50OUTDOO,DECOX50OUTDOO,TP Link Mesh Wifi System Dual,04/02/2026,28/02/2026,25,0.43,28/02/2026,FALSE
130,388,DT200UK,DT200UK,Ninja Foodi Dual Level Air Fry,18/02/2026,24/02/2026,7,44.58,24/02/2026,FALSE
131,394,DV90DB8845GBU1,DV90DB8845GBU1,Samsung Series 8 9kg Heat Pump,01/02/2026,28/02/2026,28,67.08,28/02/2026,FALSE
132,396,DV90DG52A0ABEU,DV90DG52A0ABEU,Samsung Series 5 Heat Pump,01/02/2026,28/02/2026,28,25.8,28/02/2026,FALSE
133,397,DV90DG52A0AEEU,DV90DG52A0AEEU,Samsung Series 5 Tumble Dryer,01/02/2026,28/02/2026,28,15.48,28/02/2026,FALSE
134,398,DV90DG6845LBU1,DV90DG6845LBU1,Samsung Series 6 9kg Heat Pump,01/02/2026,28/02/2026,28,65.36,28/02/2026,FALSE
135,399,DV90DG6845LEU1,DV90DG6845LEU1,Sumsung White 9kg Heat Pump,01/02/2026,28/02/2026,28,43.86,28/02/2026,FALSE
136,402,DW1203EUUKGN,DW1203EUUKGN,Ninja Sip Perfect Green Travel,21/01/2026,27/01/2026,7,6.58,27/01/2026,FALSE
137,403,DW1603EUUKBK,DW1603EUUKBK,Ninja Sip Perfect Large 400ml,21/01/2026,27/01/2026,7,6.46,27/01/2026,FALSE
138,404,DW1603EUUKGN,DW1603EUUKGN,Ninja Sip Perfect Large 400ml,21/01/2026,27/01/2026,7,6.46,27/01/2026,FALSE
139,405,DW1603EUUKWH,DW1603EUUKWH,Ninja Perfect Sip White Travel,21/01/2026,27/01/2026,7,6.46,27/01/2026,FALSE
140,406,DW1801EUUKBK,DW1801EUUKBK,Ninja Thirsti 530ml Travel Bottle,18/02/2026,24/02/2026,7,3.54,24/02/2026,FALSE
141,407,DW1801EUUKMT,DW1801EUUKMT,Ninja Thirsti 530ml Travel Bottle,18/02/2026,24/02/2026,7,3.54,24/02/2026,FALSE
142,408,DW2401EUUKBK,DW2401EUUKBK,Ninja Thirsti 700ml Travel Bottle,21/01/2026,27/01/2026,7,3.54,27/01/2026,FALSE
143,409,DW2401EUUKMT,DW2401EUUKMT,Ninja Thirsti 700ml Travel Bottle,21/01/2026,27/01/2026,7,3.54,27/01/2026,FALSE
144,410,DW60A8050FB/EU,DW60A8050FB/EU,Samsung Black St/St 14 Place,18/02/2026,28/02/2026,11,216.72,28/02/2026,FALSE
145,411,DW60CG550FSRE,DW60CG550FSRE,Samsung St/St Freestanding,01/02/2026,28/02/2026,28,54.18,28/02/2026,FALSE
146,412,DW60M6050FS/EU,DW60M6050FS/EU,Samsung 14 Place St/St,01/02/2026,28/02/2026,28,49.88,28/02/2026,FALSE
147,417,DZ300UK,DZ300UK,Ninja 6-in-1 Dual Zone Air Fryer,11/02/2026,17/02/2026,7,31.67,17/02/2026,FALSE
148,418,DZ400UK,DZ400UK,Ninja MAX 6-in-1 Dual Zone Air,18/02/2026,24/02/2026,7,30.92,24/02/2026,FALSE
149,423,EC8930U51,EC8930U51,Remington AIRvive Digital Hair,01/02/2026,28/02/2026,28,8.75,28/02/2026,FALSE
150,428,ECF02RDUK,ECF02RDUK,ECF02RDUK Espresso Coffee,24/12/2025,03/02/2026,42,62.5,03/02/2026,FALSE
151,429,ECF02WHUK,ECF02WHUK,Smeg 50's Retro Style Espresso,24/12/2025,03/02/2026,42,62.5,03/02/2026,FALSE
152,463,ES601UK,ES601UK,Ninja Luxe Café Premier series,18/02/2026,24/02/2026,7,59.58,24/02/2026,FALSE
153,464,ES601UKBK,ES601UKBK,Ninja Luxe Café Premier Espresso,18/02/2026,24/02/2026,7,59.58,24/02/2026,FALSE
154,465,ES701UK,ES701UK,Ninja Luxe Café Pro Series Coffee,18/02/2026,24/02/2026,7,92.5,24/02/2026,FALSE
155,471,ET-2860,ET-2860,ET-2860 MULTIFUNCTION,16/02/2026,28/02/2026,13,16.78,28/02/2026,FALSE
156,472,ET-2950,ET-2950,Epson EcoTank ET-2950,16/02/2026,28/02/2026,13,16.78,28/02/2026,FALSE
157,479,EX150UK,EX150UK,Shark Carpet Expert,21/01/2026,27/01/2026,7,59.75,27/01/2026,FALSE
158,480,EX200UK,EX200UK,Shark CarpetXpert Deep Carpet,21/01/2026,27/01/2026,7,65.83,27/01/2026,FALSE
159,484,F4X1009NWK.AGW,F4X1009NWK.AGW,LG White 10kg Direct Drive,03/02/2026,03/03/2026,29,11.57,03/03/2026,FALSE
160,504,FN101UKGY,FN101UKGY,Ninja CRISPI 4-in-1 Portable glass,18/02/2026,24/02/2026,7,14.17,24/02/2026,FALSE
161,505,FN101UKSG,FN101UKSG,Ninja Crispi 4 in 1 Glass Airfryer,18/02/2026,24/02/2026,7,14.17,24/02/2026,FALSE
162,506,FN101UKST,FN101UKST,Ninja CRISPi 4-in-1 Portable,18/02/2026,24/02/2026,7,14.17,24/02/2026,FALSE
163,510,FS301UK,FS301UK,Ninja Slushy Maker,18/02/2026,24/02/2026,7,75,24/02/2026,FALSE
164,530,GR101UK,GR101UK,Ninja Sizzle Low Smoke Indoor,23/01/2026,03/02/2026,12,14.17,03/02/2026,FALSE
165,533,GSLC40PYPE.APY,GSLC40PYPE.APY,LG Silver USA Fridge Freezer,03/02/2026,03/03/2026,29,92.14,03/03/2026,FALSE
166,538,GSXE91EVAD.AEV,GSXE91EVAD.AEV,LG Matte Black Instaview USA,03/02/2026,03/03/2026,29,197.36,03/03/2026,FALSE
167,561,HB150UK,HB150UK,Ninja Heated Blender,18/02/2026,24/02/2026,7,32.17,24/02/2026,FALSE
168,564,HBF03CRUK,HBF03CRUK,Smeg Cream Handblender with,24/12/2025,03/02/2026,42,15,03/02/2026,FALSE
169,566,HC367,HC367,Remington U51 Stylist Hair,01/02/2026,28/02/2026,28,1.88,28/02/2026,FALSE
170,570,HD436SLUK,HD436SLUK,Shark Flexstyle 4 in 1 Air Styler &,18/02/2026,24/02/2026,7,37.25,24/02/2026,FALSE
171,573,HD446SLUK,HD446SLUK,Shark FlexStyle 5-in-1 Air Styler &,18/02/2026,24/02/2026,7,43.83,24/02/2026,FALSE
172,574,HD542UK,HD542UK,Shark SpeedStyle Pro FLEX 4 in 1,18/02/2026,24/02/2026,7,14.17,24/02/2026,FALSE
173,575,HD731UK,HD731UK,Shark SpeedStyle Pro 3 in 1 Hair,18/02/2026,24/02/2026,7,14.17,24/02/2026,FALSE
174,576,HD752UK,HD752UK,Shark Beauty SpeedStyle Pro,18/02/2026,24/02/2026,7,14.17,24/02/2026,FALSE
175,592,HP150UK,HP150UK,Shark NeverChange5 Air Purifier,21/01/2026,27/01/2026,7,35.42,27/01/2026,FALSE
176,593,HP300UK,HP300UK,Shark NeverChange5 Air Purifier,21/01/2026,27/01/2026,7,87.08,27/01/2026,FALSE
177,619,IP1251UKT,IP1251UKT,Shark PowerDetect Cordless Pet,18/02/2026,24/02/2026,7,134.17,24/02/2026,FALSE
178,620,IP3251UKT,IP3251UKT,Shark PowerDetect Cordless Vac,18/02/2026,24/02/2026,7,106.25,24/02/2026,FALSE
179,628,IW4621UKT,IW4621UKT,Shark Vacuum Cleaner,11/02/2026,17/02/2026,7,98.75,17/02/2026,FALSE
180,629,IZ380UK,IZ380UK,Shark PowerPro Stick Vac,21/01/2026,27/01/2026,7,45.08,27/01/2026,FALSE
181,630,IZ380UKT,IZ380UKT,Shark PowerPro Pet Stick Vac,18/02/2026,24/02/2026,7,59,24/02/2026,FALSE
182,631,IZ400UK,IZ400UK,Shark Anti Hair Wrap Stick,21/01/2026,27/01/2026,7,136.67,27/01/2026,FALSE
183,632,IZ400UKT,IZ400UKT,Shark Tru Pet Cordless Stick,18/02/2026,24/02/2026,7,135.92,24/02/2026,FALSE
184,633,IZ420UKT,IZ420UKT,Shark True Pet Anti Hair Wrap,21/01/2026,27/01/2026,7,156.67,27/01/2026,FALSE
185,635,JBLBB3WIFIBLKUK,JBLBB3WIFIBLKUK,"JBL Boombox3 WiFi, Portable",16/01/2026,31/01/2026,16,77,31/01/2026,FALSE
186,642,JBLLIVE770NCBLK,JBLLIVE770NCBLK,"JBL LIVE 770NC, Wireless",05/02/2026,12/02/2026,8,27.96,12/02/2026,FALSE
187,643,JBLLIVE770NCWH,JBLLIVE770NCWH,"JBL LIVE 770NC, Wireless",05/02/2026,12/02/2026,8,27.96,12/02/2026,FALSE
188,644,JBLLIVEBEAM3BL,JBLLIVEBEAM3BL,JBL Live Beam3 Ear Buds Black,05/02/2026,12/02/2026,8,25.17,12/02/2026,FALSE
189,645,JBLLIVEBEAM3SIL,JBLLIVEBEAM3SIL,JBL Live Beam3 Silver Earbuds,05/02/2026,12/02/2026,8,25.17,12/02/2026,FALSE
190,648,JBLT520BTBLKEU,JBLT520BTBLKEU,JBL Tune520BT Wireless Black,05/02/2026,28/02/2026,24,6.36,28/02/2026,FALSE
191,649,JBLT520BTBLUEU,JBLT520BTBLUEU,JBL Blue Tune Headphones,05/02/2026,28/02/2026,24,6.36,28/02/2026,FALSE
192,650,JBLT520BTWHTEU,JBLT520BTWHTEU,JBL White Tune 520 Headphones,05/02/2026,28/02/2026,24,6.36,28/02/2026,FALSE
193,651,JBLT670NCBLK,JBLT670NCBLK,"JBL Tune 670NC, On-ear",13/02/2026,28/02/2026,16,10.14,28/02/2026,FALSE
194,652,JBLT670NCBLU,JBLT670NCBLU,JBL Tune670 Wireless,13/02/2026,28/02/2026,16,10.14,28/02/2026,FALSE
195,653,JBLT670NCWHT,JBLT670NCWHT,JBL White Tune 670 Headphones,13/02/2026,28/02/2026,16,10.14,28/02/2026,FALSE
196,654,JBLT720BTBLK,JBLT720BTBLK,JBL Black Tune 720 Headphones,05/02/2026,28/02/2026,24,13.72,28/02/2026,FALSE
197,655,JBLT720BTBLU,JBLT720BTBLU,JBL Blue Tune 720 Headphones,05/02/2026,28/02/2026,24,13.72,28/02/2026,FALSE
198,656,JBLT720BTPUR,JBLT720BTPUR,JBL Tune720 Overear Headphone,05/02/2026,28/02/2026,24,13.72,28/02/2026,FALSE
199,657,JBLT720BTWHT,JBLT720BTWHT,JBL White Tune 720 Headphones,05/02/2026,28/02/2026,24,13.72,28/02/2026,FALSE
200,658,JBLT770NCBLK,JBLT770NCBLK,"JBL Tune 770NC, Over-ear",05/02/2026,28/02/2026,24,27.84,28/02/2026,FALSE
201,659,JBLT770NCPUR,JBLT770NCPUR,JBL Purple Tune 770 Headphones,05/02/2026,28/02/2026,24,27.84,28/02/2026,FALSE
