Sales_Record_ID,Product_ID,Product_Key,Source_Month,Category,Stock Code,Description,Record_Type,Level,Sold Period,Transaction_Status,Unit Cost,Unit Price,Cost Sales,Sales Value,Profit,Profit %,Cost_Sales_Reconciliation_Flag
37,294,BES875UK,Nov,COFFEE MAKERS,BES875UK,Sage St/St Barista Express Coffee,PRODUCT,2,1,POSITIVE_SALES_ACTIVITY,336.84,500.99,336.84,374.17,37.33,9.98,MATCH
38,312,BNE800BSSUSAGE,Nov,COFFEE MAKERS,BNE800BSSUSage,Creatista Plus Nespresso,PRODUCT,2,1,POSITIVE_SALES_ACTIVITY,207.32,424.49,207.32,415.83,208.51,50.14,MATCH
39,424,EC9155.MB,Nov,COFFEE MAKERS,EC9155.MB,DeLonghi La Specailista Arte Coffee,PRODUCT,2,2,POSITIVE_SALES_ACTIVITY,252.67,509.49,505.34,557.5,52.16,9.36,MATCH
40,1082,SES876DBL4,Nov,COFFEE MAKERS,SES876DBL4,Sage Barista Express Impress,PRODUCT,1,1,POSITIVE_SALES_ACTIVITY,386.85,704.99,386.85,499.99,113.14,22.63,MATCH
41,1090,SES881BSS4,Nov,COFFEE MAKERS,SES881BSS4,Sage Barista Touch Impress,PRODUCT,0,1,POSITIVE_SALES_ACTIVITY,673.78,1104.99,673.78,832.5,158.72,19.07,MATCH
42,463,ES601UK,Nov,COFFEE MAKERS,ES601UK,Ninja Luxe Café Premier series,PRODUCT,4,1,POSITIVE_SALES_ACTIVITY,368.39,551.99,368.39,415.83,47.44,11.41,MATCH
43,438,EDG210.WB,Nov,COFFEE MAKERS,EDG210.WB,DELONGHI PICCOLO XS NESCAFE,PRODUCT,1,1,POSITIVE_SALES_ACTIVITY,21.35,33.99,21.35,49.99,28.64,57.29,MATCH
44,425,EC9455.M,Nov,COFFEE MAKERS,EC9455.M,Delonghi La Specilista Touch,PRODUCT,5,1,POSITIVE_SALES_ACTIVITY,414.63,764.49,414.63,457.5,42.87,9.37,MATCH
45,464,ES601UKBK,Nov,COFFEE MAKERS,ES601UKBK,Ninja Luxe Café Premier Espresso,PRODUCT,1,1,POSITIVE_SALES_ACTIVITY,386.28,558.49,386.28,374.17,-12.11,-3.24,MATCH
46,430,ECP62BL,Nov,COOKER HOODS,ECP62BL,CDA Black 60cm Curved Glass Hood,PRODUCT,1,1,POSITIVE_SALES_ACTIVITY,108.8,209.0,108.8,140.0,31.2,22.29,MATCH
47,462,ERAGRA60,Nov,COOKER HOODS,ERAGRA60,Elica Silver 52cm Canopy Hood for,PRODUCT,0,1,POSITIVE_SALES_ACTIVITY,56.1,80.99,56.1,90.83,34.73,38.24,MATCH
48,380,DGE5861HM,Nov,COOKER HOODS,DGE5861HM,AEG 80cm Canopy Cooker Hood,PRODUCT,1,1,POSITIVE_SALES_ACTIVITY,359.55,552.99,359.55,340.83,-18.72,-5.49,MATCH
49,616,INTEGRATA6,Nov,COOKER HOODS,INTEGRATA6,Elica 5414601 60cm Integrata,PRODUCT,0,-1,NEGATIVE_SALES_ACTIVITY,60.35,126.99,-60.35,-74.17,-13.82,18.63,MATCH
50,414,DWK67FN60BBOSCH,Nov,COOKER HOODS,DWK67FN60BBosch,60cm Black Angled Hood,PRODUCT,0,1,POSITIVE_SALES_ACTIVITY,396.67,594.49,396.67,481.67,85.0,17.65,MATCH
51,1431,ZCI66280XA,Nov,COOKERS,ZCI66280XA,Zanussi 60cm Induction Cooker St/St,PRODUCT,1,1,POSITIVE_SALES_ACTIVITY,616.19,909.49,616.19,624.17,7.98,1.28,MATCH
52,299,BFSE61DOBKBELLING,Nov,COOKERS,BFSE61DOBKBelling,60cm Black Slot in Cooker,PRODUCT,1,1,POSITIVE_SALES_ACTIVITY,328.92,499.95,328.92,415.83,86.91,20.9,MATCH
53,300,BFSE62MFIX,Nov,COOKERS,BFSE62MFIX,Belling St/St 60cm Ceramic Top,PRODUCT,0,1,POSITIVE_SALES_ACTIVITY,389.0,579.95,389.0,438.33,49.33,11.25,MATCH
54,889,P05E1S1BL,Nov,COOKERS,P05E1S1BL,Powerpoint 50cm Black Solid Plate,PRODUCT,1,1,POSITIVE_SALES_ACTIVITY,155.55,227.99,155.55,174.99,19.44,11.11,MATCH
55,750,LKR655200K,Nov,COOKERS,LKR655200K,Electrolux 60cm Black Cooker,PRODUCT,3,1,POSITIVE_SALES_ACTIVITY,426.82,749.99,426.82,499.17,72.35,14.49,MATCH
56,747,LKR555100B,Nov,COOKERS,LKR555100B,Electrolux 55cm Black Cooker,PRODUCT,3,1,POSITIVE_SALES_ACTIVITY,483.73,849.99,483.73,583.33,99.6,17.07,MATCH
57,233,980581,Nov,CYLINDER VACS,980581,Morphy Richards Bagless Pet 700w,PRODUCT,1,1,POSITIVE_SALES_ACTIVITY,58.51,93.49,58.51,74.17,15.66,21.11,MATCH
58,33,12652540,Nov,CYLINDER VACS,12652540,Miele Guard M1 CAT & DOG,PRODUCT,1,1,POSITIVE_SALES_ACTIVITY,179.12,329.99,179.12,249.17,70.05,28.11,MATCH
59,32,12652280,Nov,CYLINDER VACS,12652280,Miele Guard L1 ALL FLOOR Obs Blk,PRODUCT,4,1,POSITIVE_SALES_ACTIVITY,199.02,339.99,199.02,270.83,71.81,26.51,MATCH
60,370,DELIVERY-CHLOCAL,Nov,DELIVERY CHARGE,DELIVERY-CHLOCAL,DELIVERY CHARGE,PRODUCT,-14,1,POSITIVE_SALES_ACTIVITY,0.0,0.49,0.0,25.0,25.0,100.0,MATCH
61,369,DELIVERY,Nov,DELIVERY CHARGE,Delivery,WEB DELIVERY CHARGE,SERVICE_CHARGE,-26,0,ZERO_UNIT_FINANCIAL_ADJUSTMENT,0.0,5.99,0.0,-0.04,-0.04,100.0,MATCH
62,369,DELIVERY,Nov,DELIVERY CHARGE,DELIVERY,Web Delivery Charge,SERVICE_CHARGE,-9,1,POSITIVE_SALES_ACTIVITY,0.01,21.49,0.01,16.67,16.66,99.94,MATCH
63,363,DD60DDFHX9F,Nov,DISHWASHERS,DD60DDFHX9F,& P (81235) Flat Door S/St Dbl,PRODUCT,1,1,POSITIVE_SALES_ACTIVITY,792.53,1699.49,792.53,1125.0,332.47,29.55,MATCH
64,1155,SPS2IKW01G,Nov,DISHWASHERS,SPS2IKW01G,Bosch White 45cm Slimline,PRODUCT,0,1,POSITIVE_SALES_ACTIVITY,309.56,466.99,309.56,307.5,-2.06,-0.67,MATCH
65,517,G5410SC,Nov,DISHWASHERS,G5410SC,Miele Freestanding White Dish,PRODUCT,1,1,POSITIVE_SALES_ACTIVITY,587.52,965.49,587.52,583.33,-4.19,-0.72,MATCH
66,681,KDFGE40TX,Nov,DOUBLE OVENS,KDFGE40TX,ELECTROLUX D/O ENAMEL,PRODUCT,1,1,POSITIVE_SALES_ACTIVITY,369.91,649.99,369.91,437.5,67.59,15.45,MATCH
67,606,IDD6340BL,Nov,DOUBLE OVENS,IDD6340BL,Indesit Black Double Oven,PRODUCT,0,1,POSITIVE_SALES_ACTIVITY,287.94,424.99,287.94,249.17,-38.77,-15.56,MATCH
68,770,MBA533BB3B,Nov,DOUBLE OVENS,MBA533BB3B,Bosch Black Double Oven,PRODUCT,0,1,POSITIVE_SALES_ACTIVITY,446.54,679.99,446.54,574.17,127.63,22.23,MATCH
69,1246,U1ACE2AG3BNEFF,Nov,DOUBLE OVENS,U1ACE2AG3BNeff,N50 Graphite Double Oven,PRODUCT,1,2,POSITIVE_SALES_ACTIVITY,582.42,878.99,1164.84,1290.0,125.16,9.7,MATCH
70,715,KMDA7676FL-MIELE,Nov,DOWNDRAFT HOBS,KMDA7676FL-Miele,12509230 Venting Hob,PRODUCT,2,1,POSITIVE_SALES_ACTIVITY,1890.72,3229.49,1890.72,2224.17,333.45,14.99,MATCH
71,432,ED811BS16E,Nov,DOWNDRAFT HOBS,ED811BS16E,Siemens iQ300 80cm Venting Hob,PRODUCT,1,1,POSITIVE_SALES_ACTIVITY,1232.5,1801.49,1232.5,1507.5,275.0,18.24,MATCH
72,37,16733,Nov,ELECTRIC BLANKETS,16733,Imetec Double Mattress Cover Dual,PRODUCT,2,1,POSITIVE_SALES_ACTIVITY,85.11,135.99,85.11,83.33,-1.78,-2.14,MATCH
73,38,16734,Nov,ELECTRIC BLANKETS,16734,"Imetec King, Dual Ctrl Mattress",PRODUCT,0,1,POSITIVE_SALES_ACTIVITY,95.75,152.99,95.75,129.13,33.38,25.85,MATCH
74,1022,RHESB6001,Nov,ELECTRIC BLANKETS,RHESB6001,Russell Hobbs Single Blanket,PRODUCT,1,1,POSITIVE_SALES_ACTIVITY,0.0,29.99,0.0,20.83,20.83,100.0,MATCH
75,390,DUB1002,Nov,ELECTRIC BLANKETS,DUB1002,Dimplex Double Underblanket,PRODUCT,4,2,POSITIVE_SALES_ACTIVITY,23.92,38.49,47.84,64.16,16.32,25.44,MATCH
76,391,DUB1003,Nov,ELECTRIC BLANKETS,DUB1003,Dimplex King Size Underblanket,PRODUCT,4,1,POSITIVE_SALES_ACTIVITY,26.58,46.99,26.58,37.49,10.91,29.1,MATCH
77,1,010-02384-10,Nov,FITNESS,010-02384-10,Garmin Lily Cream Gold & White,PRODUCT,-1,1,POSITIVE_SALES_ACTIVITY,123.97,194.99,123.97,165.83,41.86,25.24,MATCH
78,775,MEH34MP/A,Nov,FITNESS,MEH34MP/A,Apple Watch SE 3 GPS 40mm,PRODUCT,1,1,POSITIVE_SALES_ACTIVITY,174.92,231.49,174.92,182.5,7.58,4.15,MATCH
79,776,MEH94MP/A,Nov,FITNESS,MEH94MP/A,Apple Watch SE 3 GPS 40mm,PRODUCT,0,2,POSITIVE_SALES_ACTIVITY,174.92,231.49,349.84,365.0,15.16,4.15,MATCH
80,35,15199,Nov,FOOD PREP,15199,Russell Hobbs 2 Plate Portable Hob,PRODUCT,3,1,POSITIVE_SALES_ACTIVITY,29.99,49.49,29.99,24.99,-5.0,-20.01,MATCH
81,788,MQ3025,Nov,FOOD PREP,MQ3025,Braun 700W Handblender,PRODUCT,4,1,POSITIVE_SALES_ACTIVITY,20.72,50.49,20.72,45.83,25.11,54.79,MATCH
82,74,25041,Nov,FOOD PREP,25041,George Foreman 5 Portion Slate,PRODUCT,0,1,POSITIVE_SALES_ACTIVITY,31.09,50.99,31.09,33.33,2.24,6.72,MATCH
83,721,KN650A,Nov,FOOD PREP,KN650A,Kenwood Electric Knife | KN650A,PRODUCT,-7,2,POSITIVE_SALES_ACTIVITY,15.37,29.99,30.74,48.34,17.6,36.41,MATCH
84,102,300302,Nov,FOOD PREP,300302,"MR Crystal Clear 2400watt, Precision",PRODUCT,12,1,POSITIVE_SALES_ACTIVITY,21.26,29.99,21.26,21.67,0.41,1.89,MATCH
85,733,KVC65.001WHKENWOOD,Nov,FOOD PREP,KVC65.001WHKenwood,CHEF BAKER,PRODUCT,0,1,POSITIVE_SALES_ACTIVITY,221.13,492.99,221.13,215.83,-5.3,-2.46,MATCH
86,311,BN800UK,Nov,FOOD PREP,BN800UK,NINJA 3 IN 1 FOOD,PRODUCT,2,2,POSITIVE_SALES_ACTIVITY,135.98,203.49,271.96,306.66,34.7,11.32,MATCH
87,587,HMP50.000BKKENWOOD,Nov,FOOD PREP,HMP50.000BKKenwood,QuickMix+ Black Hand,PRODUCT,2,1,POSITIVE_SALES_ACTIVITY,31.09,50.99,31.09,37.49,6.4,17.07,MATCH
88,493,FDP22.130GYKENWOOD,Nov,FOOD PREP,FDP22.130GYKenwood,Multipro Go Food,PRODUCT,2,1,POSITIVE_SALES_ACTIVITY,36.28,59.49,36.28,36.67,0.39,1.06,MATCH
89,771,MC1001UK,Nov,FOOD PREP,MC1001UK,Ninja 8-in-1 Slow Cooker,PRODUCT,0,2,POSITIVE_SALES_ACTIVITY,101.99,152.49,203.98,213.34,9.36,4.39,MATCH
90,494,FDP31.170GYKENWOOD,Nov,FOOD PREP,FDP31.170GYKenwood,Multipro Food Processor,PRODUCT,1,1,POSITIVE_SALES_ACTIVITY,51.82,84.99,51.82,57.5,5.68,9.88,MATCH
91,73,24662,Nov,FOOD PREP,24662,Russell Hobbs Desire Matte Blk Mini,PRODUCT,0,1,POSITIVE_SALES_ACTIVITY,23.32,38.49,23.32,26.66,3.34,12.53,MATCH
92,93,27111,Nov,FOOD PREP,27111,Russell Hobbs Desire Matte Charcoal,PRODUCT,3,1,POSITIVE_SALES_ACTIVITY,49.23,76.49,49.23,57.5,8.27,14.38,MATCH
93,824,NC701UK,Nov,FOOD PREP,NC701UK,Ninja CREAMi Swirl,PRODUCT,1,1,POSITIVE_SALES_ACTIVITY,243.65,377.99,243.65,228.33,-15.32,-6.71,MATCH
94,532,GS36NVIEV,Nov,FREEZERS,GS36NVIEV,Siemens iQ300 186 x 60 Inox Freezer,PRODUCT,0,1,POSITIVE_SALES_ACTIVITY,488.75,799.99,488.75,579.17,90.42,15.61,MATCH
95,686,KGE49AICAG,Nov,FRIDGE FREEZERS,KGE49AICAG,*Bosch St/St 201x70 Fridge Freezer,PRODUCT,4,1,POSITIVE_SALES_ACTIVITY,499.99,827.99,499.99,582.5,82.51,14.16,MATCH
96,999,RB34C600EB,Nov,FRIDGE FREEZERS,RB34C600EB,Samsung 1.85 Combi F/F Black,PRODUCT,-1,1,POSITIVE_SALES_ACTIVITY,431.32,687.99,431.32,457.5,26.18,5.72,MATCH
97,687,KGN392LAF,Nov,FRIDGE FREEZERS,KGN392LAF,Bosch Series 4 St St Look 203 x 60,PRODUCT,0,1,POSITIVE_SALES_ACTIVITY,756.77,1138.49,756.77,749.17,-7.6,-1.01,MATCH
98,296,BFF230IX,Nov,FRIDGE FREEZERS,BFF230IX,Belling 167cm x 55cm Inox Fridge,PRODUCT,0,1,POSITIVE_SALES_ACTIVITY,257.05,489.0,257.05,274.17,17.12,6.24,MATCH
99,295,BFF199IX,Nov,FRIDGE FREEZERS,BFF199IX,Belling 50cm Inox 1430 x 550 Fridge,PRODUCT,0,1,POSITIVE_SALES_ACTIVITY,229.43,349.95,229.43,249.17,19.74,7.92,MATCH
100,931,P65514MSFWPOWERPOINT,Nov,FRIDGE FREEZERS,P65514MSFWPowerpoint,144 x 54 White Fridge,PRODUCT,0,1,POSITIVE_SALES_ACTIVITY,191.25,279.99,191.25,229.17,37.92,16.55,MATCH
101,935,P65564MSFWPOWERPOINT,Nov,FRIDGE FREEZERS,P65564MSFWPowerpoint,White 176x54 Fridge,PRODUCT,0,1,POSITIVE_SALES_ACTIVITY,209.95,307.99,209.95,258.33,48.38,18.73,MATCH
102,727,KS36VVIEPG,Nov,FRIDGES,KS36VVIEPG,Siemens Inox Fridge 186 x 60cm,PRODUCT,3,1,POSITIVE_SALES_ACTIVITY,486.96,771.99,486.96,579.17,92.21,15.92,MATCH
103,694,KI1813FE0G,Nov,FRIDGES,KI1813FE0G,Neff N 70 BUILT-IN FRIDGE 177.5 X,PRODUCT,1,1,POSITIVE_SALES_ACTIVITY,667.11,1001.49,667.11,833.33,166.22,19.95,MATCH
104,1018,RH4CLR1001,Nov,FRIDGES,RH4CLR1001,Russell Hobbs 4L Black Mini Cooler,PRODUCT,2,1,POSITIVE_SALES_ACTIVITY,31.09,50.99,31.09,38.33,7.24,18.89,MATCH
105,249,AF160UK,Nov,FRYERS,AF160UK,Ninja Air Fryer Max,PRODUCT,2,1,POSITIVE_SALES_ACTIVITY,92.08,177.99,92.08,82.5,-9.58,-11.61,MATCH
106,251,AF300UK,Nov,FRYERS,AF300UK,Ninja Dual Zone Air Fryer,PRODUCT,3,0,ZERO_UNIT_FINANCIAL_ADJUSTMENT,141.66,220.49,-5.66,-40.85,-35.19,86.14,SOURCE_ADJUSTMENT
107,497,FF203840,Nov,FRYERS,FF203840,Tefal Uno Fryer 1Kg Black,PRODUCT,3,1,POSITIVE_SALES_ACTIVITY,23.32,38.49,23.32,29.17,5.85,20.05,MATCH
108,252,AF400UK,Nov,FRYERS,AF400UK,Ninja Foodi Max Dual Zon Fryer 9.5L,PRODUCT,3,2,POSITIVE_SALES_ACTIVITY,157.16,254.49,314.32,248.33,-65.99,-26.57,MATCH
109,254,AF500UK,Nov,FRYERS,AF500UK,Ninja Foodi FlexDrawer 10.4L,PRODUCT,2,1,POSITIVE_SALES_ACTIVITY,181.31,271.49,181.31,145.83,-35.48,-24.33,MATCH
110,250,AF180UK,Nov,FRYERS,AF180UK,Ninja Air Fryer MAX PRO 6.2L,PRODUCT,3,3,POSITIVE_SALES_ACTIVITY,101.99,152.49,305.97,305.84,-0.13,-0.04,MATCH
111,1120,SL400UK,Nov,FRYERS,SL400UK,Ninja Double Stacked Air Fryer,PRODUCT,2,2,POSITIVE_SALES_ACTIVITY,181.31,271.49,362.62,315.0,-47.62,-15.12,MATCH
112,599,HVG631MB,Nov,GAS HOBS,HVG631MB,CDA 60cm Four zone Gas on Glass,PRODUCT,0,1,POSITIVE_SALES_ACTIVITY,211.0,324.49,211.0,262.5,51.5,19.62,MATCH
113,361,D3010,Nov,HAIRCARE,D3010,Remington Hair Dryer,PRODUCT,1,1,POSITIVE_SALES_ACTIVITY,11.24,19.99,11.24,13.33,2.09,15.68,MATCH
114,109,389923-01,Nov,HAIRCARE,389923-01,Supersonic Nickel & Copper New,PRODUCT,1,1,POSITIVE_SALES_ACTIVITY,262.6,339.49,262.6,165.83,-96.77,-58.35,MATCH
115,243,AC9140,Nov,HAIRCARE,AC9140,REMINGTON HAIRDRYER AC,PRODUCT,3,1,POSITIVE_SALES_ACTIVITY,31.09,50.99,31.09,20.83,-10.26,-49.26,MATCH
116,942,PG180,Nov,HAIRCARE,PG180,Remington All In One Groming Kit,PRODUCT,7,2,POSITIVE_SALES_ACTIVITY,10.36,18.49,20.72,27.07,6.35,23.46,MATCH
117,827,NE3890,Nov,HAIRCARE,NE3890,Remington U51 Male Trimmer Kit,PRODUCT,0,1,POSITIVE_SALES_ACTIVITY,10.36,16.99,10.36,10.41,0.05,0.48,MATCH
118,571,HD440BPUK,Nov,HAIRCARE,HD440BPUK,SHARK FLEX STYLE – MALIBU,PRODUCT,1,0,ZERO_UNIT_FINANCIAL_ADJUSTMENT,211.45,305.99,0.0,33.34,33.34,100.0,MATCH
119,569,HD301UK,Nov,HAIRCARE,HD301UK,Shark SppedStyle Hair Dryer,PRODUCT,1,3,POSITIVE_SALES_ACTIVITY,70.83,110.99,213.93,249.16,35.23,14.14,SOURCE_ADJUSTMENT
120,1344,WH1000XM4BSONY,Nov,HEADPHONES,WH1000XM4BSony,Black Wireless Headphones,PRODUCT,0,1,POSITIVE_SALES_ACTIVITY,176.19,0.49,176.19,149.17,-27.02,-18.11,MATCH
121,107,38-S700BK,Nov,HEADPHONES,38-S700BK,Shokz OpenSwim Black,PRODUCT,1,1,POSITIVE_SALES_ACTIVITY,76.27,118.99,76.27,96.67,20.4,21.1,MATCH
122,1358,WHCH720NLCSONY,Nov,HEADPHONES,WHCH720NLCSony,Over Ear Noise Cancelling Blue,PRODUCT,1,1,POSITIVE_SALES_ACTIVITY,71.84,118.99,71.84,62.49,-9.35,-14.96,MATCH
123,509,FP42978,Nov,HEADPHONES,FP42978,Bowers & Wilkins PX8 Headphone,PRODUCT,0,1,POSITIVE_SALES_ACTIVITY,332.1,594.49,332.1,332.5,0.4,0.12,MATCH
124,1360,WHCH720WCSONY,Nov,HEADPHONES,WHCH720WCSony,White Noise Cancel H/phone,PRODUCT,4,1,POSITIVE_SALES_ACTIVITY,71.84,118.49,71.84,62.49,-9.35,-14.96,MATCH
125,647,JBLT520BTBLJBL,Nov,HEADPHONES,JBLT520BTBLJBL,Tune520BT Wireless Black,PRODUCT,2,1,POSITIVE_SALES_ACTIVITY,22.53,42.49,22.53,24.99,2.46,9.84,MATCH
126,1128,SM-R630NZA,Nov,HEADPHONES,SM-R630NZA,Samsung Buds 3 Pro Silver,PRODUCT,-1,1,POSITIVE_SALES_ACTIVITY,161.39,220.49,161.39,124.17,-37.22,-29.98,MATCH
